Rainfall_mm,Soil_Moisture_Percentage,Landslide
56.18,75.85,0
142.61,62.89,1
109.8,44.76,0
89.8,85.1,1
23.4,74.78,0
23.4,33.01,0
8.71,92.87,0
129.93,85.8,1
90.17,95.98,1
106.21,78.06,1
3.09,69.07,0
145.49,53.46,0
124.87,94.62,1
31.85,89.29,0
27.27,23.62,0
27.51,22.11,0
45.64,50.12,0
78.71,84.84,0
64.79,98.98,0
43.68,32.03,0
91.78,67.53,0
20.92,50.47,0
43.82,97.59,0
54.95,87.37,0
68.41,87.07,0
117.78,57.5,0
29.95,53.19,0
77.14,41.87,0
88.86,24.51,0
6.97,89.18,0
91.13,85.03,1
25.58,99.98,0
9.76,99.73,0
142.33,64.43,1
144.84,81.52,1
121.26,95.58,1
45.69,87.97,0
14.65,39.79,0
102.63,56.04,0
66.02,30.33,0
18.31,96.32,0
74.28,68.49,0
5.16,38.29,0
136.4,73.74,1
38.82,69.45,0
99.38,48.65,0
46.76,29.08,0
78.01,73.73,0
82.01,61.62,0
27.73,81.79,0
145.44,61.61,1
116.27,88.17,1
140.92,64.15,1
134.22,64.88,1
89.68,90.13,1
138.28,52.28,0
13.27,30.72,0
29.4,22.3,0
6.78,80.41,0
48.8,69.62,0
58.3,76.33,0
40.7,37.04,0
124.31,30.91,0
53.51,21.16,0
42.14,48.05,0
81.4,67.19,0
21.14,51.38,0
120.33,55.0,0
11.18,92.33,0
148.03,47.86,0
115.84,61.12,0
29.81,82.69,0
0.83,51.72,0
122.32,69.77,1
106.03,88.99,1
109.35,95.96,1
115.69,31.77,0
11.11,94.13,0
53.77,59.37,0
17.38,40.66,0
129.47,56.73,0
93.49,98.4,1
49.63,59.41,0
9.53,46.3,0
46.65,70.67,0
48.78,39.21,0
109.44,26.07,0
95.63,30.31,0
133.08,30.24,0
70.83,32.15,0
17.94,31.11,0
106.99,71.27,1
114.12,34.55,0
84.19,47.65,0
115.65,91.74,1
74.07,57.92,0
78.41,73.4,0
64.13,33.79,0
3.81,35.38,0
16.18,23.27,0
4.71,33.51,0
95.46,42.29,0
47.15,34.16,0
76.29,27.1,0
136.13,29.65,0
37.39,56.86,0
61.56,36.51,0
113.33,49.14,0
34.32,60.27,0
11.55,75.23,0
43.46,23.14,0
24.18,83.95,0
139.45,70.23,1
121.22,26.54,0
95.01,89.89,1
130.72,93.67,1
120.55,24.89,0
27.99,42.15,0
133.88,84.5,1
80.9,79.86,1
121.12,34.76,0
134.41,36.75,0
47.7,49.64,0
16.51,58.76,0
34.19,69.46,0
64.07,49.51,0
122.7,57.0,0
129.11,79.8,1
1.04,22.93,0
76.61,40.19,0
62.61,77.07,0
33.32,91.62,0
17.98,60.93,0
50.64,62.57,0
141.44,28.57,0
48.48,55.79,0
77.82,62.61,0
105.45,39.4,0
54.54,41.54,0
145.77,50.18,0
144.37,21.61,0
37.77,45.77,0
74.59,36.92,0
45.13,46.2,0
42.73,29.58,0
5.53,91.24,0
91.43,67.49,0
75.4,74.33,0
7.72,83.13,0
41.8,59.88,0
136.24,26.95,0
35.93,62.97,0
21.73,66.95,0
73.42,79.64,0
147.85,54.53,0
36.31,30.21,0
100.82,42.7,0
114.24,49.05,0
35.65,71.67,0
109.23,65.66,0
55.17,48.49,0
94.85,98.92,1
95.03,68.46,0
80.37,38.98,0
13.54,28.14,0
125.3,32.23,0
48.12,39.68,0
27.98,32.85,0
6.12,34.93,0
88.63,42.81,0
101.63,33.87,0
2.49,91.74,0
76.81,26.42,0
33.97,61.96,0
96.78,52.83,0
26.15,98.59,0
103.64,28.96,0
58.01,51.83,0
140.51,97.56,1
20.63,89.24,0
51.16,85.37,0
17.02,40.63,0
138.7,33.67,0
131.6,73.49,1
38.69,94.35,0
99.0,64.54,0
122.58,65.73,1
83.28,42.4,0
79.45,81.56,0
36.28,34.96,0
13.97,45.89,0
134.58,54.03,0
135.06,60.61,1
94.97,39.39,0
50.85,29.19,0
52.38,68.85,0
108.89,43.09,0
134.57,66.5,1
133.06,32.35,0
116.98,58.49,0
96.3,62.61,0
12.62,24.15,0
24.24,46.93,0
134.78,30.75,0
90.96,25.07,0
1.38,99.2,0
15.22,45.79,0
99.53,84.79,1
0.76,40.37,0
24.12,74.52,0
82.31,80.82,1
103.78,67.65,0
97.79,57.73,0
33.64,52.95,0
106.83,47.91,0
35.59,94.36,0
48.81,86.45,0
111.97,97.2,1
97.44,29.94,0
127.38,78.47,1
98.64,95.07,1
85.25,34.5,0
14.05,25.32,0
55.16,79.29,0
39.78,65.96,0
36.6,87.35,0
145.95,31.18,0
58.96,83.62,0
133.81,36.13,0
94.67,33.09,0
119.22,33.14,0
75.4,85.17,0
86.54,73.22,1
73.88,61.85,0
29.29,48.71,0
108.37,90.18,1
42.12,51.4,0
3.65,85.33,0
96.82,55.13,0
26.57,50.16,0
141.07,57.01,0
143.09,44.11,0
137.23,79.81,1
55.52,60.22,0
2.32,38.58,0
139.25,91.97,1
64.23,50.71,0
145.0,63.48,1
144.54,92.52,1
127.95,69.94,1
44.17,29.35,0
57.76,95.19,0
127.67,70.22,1
47.54,46.79,0
25.42,31.14,0
83.52,83.52,1
140.42,69.61,1
104.4,62.68,0
85.51,91.51,1
14.58,83.09,0
92.25,32.13,0
148.51,44.94,0
21.01,39.88,0
77.75,79.52,0
131.61,22.68,0
111.12,65.59,0
104.55,81.0,1
105.37,90.14,1
53.92,47.37,0
44.04,85.7,0
121.4,28.85,0
121.52,87.72,1
130.06,30.2,0
136.99,51.78,0
76.7,83.78,0
75.23,31.99,0
119.74,38.34,0
97.49,77.78,1
105.3,77.6,1
119.37,71.29,1
133.5,75.52,1
50.7,63.42,0
56.34,40.14,0
14.1,47.66,0
86.74,34.53,0
5.39,92.68,0
69.84,66.67,0
81.4,52.07,0
42.98,56.96,0
88.62,95.78,1
4.58,32.27,0
5.6,66.9,0
123.39,60.47,1
54.03,68.92,0
19.06,21.45,0
78.34,89.77,0
115.5,94.57,1
32.37,65.21,0
93.43,75.73,1
12.8,93.8,0
7.75,76.58,0
79.7,32.2,0
81.1,66.1,0
95.61,68.54,0
108.91,53.93,0
146.38,78.92,1
77.45,94.75,0
48.44,94.05,0
119.28,56.07,0
40.62,29.06,0
65.85,98.79,0
11.77,87.11,0
3.8,29.97,0
144.4,93.67,1
125.4,89.59,1
104.4,61.51,0
61.34,67.3,0
25.99,51.92,0
23.47,24.38,0
37.54,46.82,0
82.38,84.23,1
107.19,20.37,0
99.03,46.68,0
41.99,51.85,0
143.23,62.99,1
110.68,93.59,1
83.15,47.71,0
91.76,47.76,0
62.94,79.0,0
37.16,56.18,0
53.4,37.97,0
113.68,56.2,0
2.16,31.27,0
17.41,34.11,0
6.9,59.87,0
6.11,53.51,0
128.32,93.19,1
105.55,48.99,0
71.13,66.45,0
14.68,70.58,0
73.74,21.05,0
71.02,73.08,0
25.98,34.24,0
65.08,96.89,0
59.78,31.89,0
92.38,53.17,0
95.26,26.83,0
6.8,99.75,0
56.19,60.18,0
93.88,67.63,0
75.47,25.37,0
128.47,80.0,1
98.8,36.79,0
24.44,91.84,0
10.59,36.41,0
96.36,35.26,0
3.98,22.92,0
87.87,57.77,0
141.03,65.19,1
86.32,25.26,0
58.23,82.04,0
96.49,56.26,0
68.74,61.95,0
81.84,55.26,0
141.22,52.06,0
57.92,64.77,0
144.18,32.42,0
135.8,34.55,0
29.37,88.94,0
10.4,95.69,0
15.12,49.86,0
2.73,41.66,0
14.17,71.52,0
102.45,52.7,0
10.68,22.03,0
47.85,32.49,0
126.73,77.28,1
3.49,72.71,0
122.17,22.17,0
42.28,37.76,0
17.72,38.49,0
104.51,73.75,1
94.34,21.58,0
131.62,28.33,0
110.26,83.99,1
120.52,34.28,0
42.31,72.22,0
26.62,39.05,0
112.59,27.96,0
121.03,39.45,0
148.58,77.78,1
61.89,88.46,0
55.8,86.42,0
116.46,51.77,0
51.12,73.45,0
139.61,36.4,0
128.76,43.45,0
64.35,91.71,0
112.63,21.04,0
113.18,26.84,0
15.47,36.63,0
135.38,22.12,0
75.79,34.51,0
123.97,66.64,1
48.01,53.71,0
134.33,91.41,1
58.38,85.4,0
1.63,47.35,0
135.81,40.75,0
13.69,50.38,0
47.9,67.22,0
142.51,41.45,0
142.59,69.93,1
86.02,52.75,0
94.78,64.16,0
67.27,54.89,0
43.98,43.56,0
49.3,95.88,0
100.88,81.09,1
112.86,31.21,0
118.74,89.48,1
118.44,58.99,0
13.68,91.56,0
74.16,83.99,0
8.63,54.02,0
82.43,21.8,0
66.23,41.49,0
133.16,63.33,1
52.64,70.68,0
17.56,40.63,0
21.45,31.15,0
114.23,86.79,1
92.73,98.75,1
15.17,62.06,0
12.62,33.73,0
105.15,41.78,0
10.91,21.47,0
123.28,93.14,1
105.94,29.42,0
12.2,66.12,0
12.73,41.92,0
148.0,64.33,1
56.14,72.11,0
55.6,86.38,0
121.92,36.51,0
142.09,20.88,0
147.9,30.95,0
113.01,92.0,1
56.44,89.91,0
12.53,67.79,0
